1:l;2:TT;3:EE;4:TE;5:BB;6:phiphi;7:TPhi;8:Ephi
1863    ;3595329216872    ;131417523749    ;-0.1986436217145;0.000000000000e+00;0.0004786263500043;0.00006118301420951;-0.00001346706571482
1864    ;3578370541944    ;1322588971821    ;-0.2087416241036;0.000000000000e+00;0.0004775196768887;0.0000618035534161;-0.0000135595422435
1865    ;3561569634708    ;1330939417983    ;-0.2195179108981;0.000000000000e+00;0.0004764159920963;0.00006244092746344;-0.00001365058480768
1866    ;3544928144807    ;1339224018827    ;-0.2309609899002;0.000000000000e+00;0.0004753152887186;0.00006309441686344;-0.00001374019625824
1867    ;3528447727039    ;1347440207011    ;-0.2430593127731;0.000000000000e+00;0.0004742175597655;0.0000637632988778;-0.00001382837947434
1868    ;351213004136    ;135558540498    ;-0.2558012749629;0.000000000000e+00;0.0004731227981649;0.00006444684751361;-0.00001391513736349
1869    ;3495976752893    ;1363657024956    ;-0.2691752156203;0.000000000000e+00;0.0004720309967629;0.00006514433351892;-0.00001400047286157
1870    ;3479989531933    ;1371652468925    ;-0.2831694175224;0.000000000000e+00;0.0004709421483235;0.00006585502437829;-0.00001408438893289
1871    ;3464170053951    ;137956912862    ;-0.2977721069945;0.000000000000e+00;0.0004698562455284;0.00006657818430841;-0.00001416688857023
1872    ;3448519999604    ;1387404385515    ;-0.3129714538319;0.000000000000e+00;0.0004687732809772;0.00006731307425365;-0.0000142479747949
1873    ;3433041054735    ;1395155610804    ;-0.328755571222;0.000000000000e+00;0.0004676932471866;0.00006805895188164;-0.00001432765065676
1874    ;3417734910386    ;1402820165392    ;-0.3451125156653;0.000000000000e+00;0.000466616136591;0.00006881507157883;-0.00001440591923427
1875    ;3402603262799    ;1410395399882    ;-0.3620302868981;0.000000000000e+00;0.0004655419415419;0.00006958068444609;-0.00001448278363457
1876    ;3387647813424    ;1417878654557    ;-0.3794968278137;0.000000000000e+00;0.0004644706543081;0.0000703550382943;-0.00001455824699348
1877    ;3372870268924    ;1425267259374    ;-0.3975000243844;0.000000000000e+00;0.000463402267075;0.00007113737763985;-0.00001463231247556
